time[s],q_0[mm],q_2[mm]
13.3000000000,-4.4452610000,0.0000000000
13.3100000000,-4.4617500000,0.0000000000
13.3200000000,-4.4781820000,0.0000000000
13.3300000000,-4.4945550000,0.0000000000
13.3400000000,-4.5108700000,0.0000000000
13.3500000000,-4.5271240000,0.0000000000
13.3600000000,-4.5433190000,0.0000000000
13.3700000000,-4.5594520000,0.0000000000
13.3800000000,-4.5755240000,0.0000000000
13.3900000000,-4.5915340000,0.0000000000
13.4000000000,-4.6074800000,0.0000000000
13.4100000000,-4.6233640000,0.0000000000
13.4200000000,-4.6391830000,0.0000000000
13.4300000000,-4.6549380000,0.0000000000
13.4400000000,-4.6706270000,0.0000000000
13.4500000000,-4.6862500000,0.0000000000
13.4600000000,-4.7018070000,0.0000000000
13.4700000000,-4.7172960000,0.0000000000
13.4800000000,-4.7327180000,0.0000000000
13.4900000000,-4.7480710000,0.0000000000
13.5000000000,-4.7633560000,0.0000000000
13.5100000000,-4.7785700000,0.0000000000
13.5200000000,-4.7937150000,0.0000000000
13.5300000000,-4.8087890000,0.0000000000
13.5400000000,-4.8237910000,0.0000000000
13.5500000000,-4.8387210000,0.0000000000
13.5600000000,-4.8535790000,0.0000000000
13.5700000000,-4.8683630000,0.0000000000
13.5800000000,-4.8830740000,0.0000000000
13.5900000000,-4.8977100000,0.0000000000
13.6000000000,-4.9122720000,0.0000000000
13.6100000000,-4.9267580000,0.0000000000
13.6200000000,-4.9411680000,0.0000000000
13.6300000000,-4.9555010000,0.0000000000
13.6400000000,-4.9697570000,0.0000000000
13.6500000000,-4.9839360000,0.0000000000
13.6600000000,-4.9980360000,0.0000000000
13.6700000000,-5.0120570000,0.0000000000
13.6800000000,-5.0259980000,0.0000000000
13.6900000000,-5.0398600000,0.0000000000
13.7000000000,-5.0536410000,0.0000000000
13.7100000000,-5.0673410000,0.0000000000
13.7200000000,-5.0809600000,0.0000000000
13.7300000000,-5.0944960000,0.0000000000
13.7400000000,-5.1079500000,0.0000000000
13.7500000000,-5.1213200000,0.0000000000
13.7600000000,-5.1346070000,0.0000000000
13.7700000000,-5.1478090000,0.0000000000
13.7800000000,-5.1609270000,0.0000000000
13.7900000000,-5.1739590000,0.0000000000
13.8000000000,-5.1869060000,0.0000000000
13.8100000000,-5.1997660000,0.0000000000
13.8200000000,-5.2125390000,0.0000000000
13.8300000000,-5.2252250000,0.0000000000
13.8400000000,-5.2378230000,0.0000000000
13.8500000000,-5.2503330000,0.0000000000
13.8600000000,-5.2627540000,0.0000000000
13.8700000000,-5.2750860000,0.0000000000
13.8800000000,-5.2873280000,0.0000000000
13.8900000000,-5.2994790000,0.0000000000
13.9000000000,-5.3115400000,0.0000000000
13.9100000000,-5.3235090000,0.0000000000
13.9200000000,-5.3353870000,0.0000000000
13.9300000000,-5.3471720000,0.0000000000
13.9400000000,-5.3588650000,0.0000000000
13.9500000000,-5.3704650000,0.0000000000
13.9600000000,-5.3819710000,0.0000000000
13.9700000000,-5.3933830000,0.0000000000
13.9800000000,-5.4047010000,0.0000000000
13.9900000000,-5.4159240000,0.0000000000
14.0000000000,-5.4270510000,0.0000000000
14.0100000000,-5.4380820000,0.0000000000
14.0200000000,-5.4490180000,0.0000000000
14.0300000000,-5.4598560000,0.0000000000
14.0400000000,-5.4705980000,0.0000000000
14.0500000000,-5.4812420000,0.0000000000
14.0600000000,-5.4917880000,0.0000000000
14.0700000000,-5.5022350000,0.0000000000
14.0800000000,-5.5125840000,0.0000000000
14.0900000000,-5.5228340000,0.0000000000
14.1000000000,-5.5329840000,0.0000000000
14.1100000000,-5.5430340000,0.0000000000
14.1200000000,-5.5529830000,0.0000000000
14.1300000000,-5.5628320000,0.0000000000
14.1400000000,-5.5725800000,0.0000000000
14.1500000000,-5.5822260000,0.0000000000
14.1600000000,-5.5917700000,0.0000000000
